ISBN,书名,作者,出版,价格,评分,人数,状态,书柜,购书日期,已读日期,封面,出版日期,详情页,推荐度,页数
9787540483432,病隙碎笔,史铁生,湖南文艺出版社,35,8.3,4929,计划,未设置,,,,,,0,
9787220103728,白天的房子，夜晚的房子,[波兰] 奥尔加·托卡尔丘克 译者: 易丽君/袁汉镕,四川人民出版社,60.00,8.6,10860,计划,未设置,,,,,,0,
9787551819565,白牙,[美] 杰克·伦敦 译者: 雍毅,三秦出版社,49.00,8.6,727,计划,未设置,,,,,,0,
9787511356215,白话容斋随笔精选,洪迈 译者: 左岸,中国华侨出版社,35.00,0.0,3,计划,未设置,,,,,,0,
9787511706669,白鲸,麦尔维尔 译者: 罗山川,中央编译出版社,49.80,7.3,44,计划,未设置,,,,,,0,
9787559437440,百万英镑,[美] 马克·吐温 译者: 吴刚,江苏凤凰文艺出版社,36.9,8.3,363,计划,未设置,,,,,,0,
9787544253994,百年孤独,[哥伦比亚] 加西亚·马尔克斯 译者: 范晔,南海出版公司,39.50,9.3,463375,计划,未设置,,,,,,0,
9787544777995,看不见的城市,[意] 伊塔洛·卡尔维诺 译者: 张密,译林出版社,45.00,8.7,2318,已读,未设置,,,,,,0,
9787532181247,短史记,谌旭彬/杨津涛,上海文艺出版社,49.80,7.5,533,已读,未设置,,,,,,0,
9787544299015,祈念守护人,[日] 东野圭吾 译者: 宋刚,南海出版公司,59.00,7.5,11053,计划,未设置,,,,,,0,
9787550277892,秘密花园,[美]弗朗西丝·霍奇森·伯内特 译者: 李文俊,北京联合出版公司,23.00,8.8,22,默认,未设置,,,,,,0,
9787534049170,秦印三百品,,浙江人民美术出版社,32,8.8,18,默认,未设置,,,,,,0,
9787544250580,窗边的小豆豆,[日] 黑柳彻子 著/岩崎千弘 图 译者: 赵玉皎,南海出版公司,25.00,9.1,13154,默认,未设置,,,,,,0,
9787020104369,童年 在人间 我的大学,[苏] 高尔基 译者: 刘辽逸/楼适夷/陆风,人民文学出版社,45.00,8.7,1188,默认,未设置,,,https://img2.doubanio.com/view/subject/l/public/s34395081.jpg,,,0,
9787532770816,笔花钗影录,[英] 毛姆 译者: 高健,上海译文出版社,38,8.3,681,已读,未设置,,,,,,0,
9787534034114,篆刻学,邓散木,浙江人民美术出版社,25.00,9.1,87,默认,未设置,,,,,,0,
9787521707540,纳兰词,[清] 纳兰性德 译者: 程璧,中信出版集团,68.00,8.7,188,计划,未设置,,,,,,0,
9787506393379,纸牌的秘密,（挪威）乔斯坦·贾德 译者: 李永平,作家出版社,,7.9,207,默认,未设置,,,,,,0,
9787101066883,经典常谈,朱自清,中华书局,15.00,8.6,485,计划,未设置,,,,,,0,
9787508658797,给孩子的动物寓言,黄永玉,中信出版社,45.00,8.8,888,已读,未设置,,,,,,0,
9787508654768,给孩子的古诗词,叶嘉莹 编,中信出版社,38.00,7.6,607,已读,未设置,,,,,,0,
9787508673202,给孩子的故事,王安忆 编,中信出版社,42,8.2,502,已读,未设置,,,,,,0,
9787508664972,给孩子的汉字王国,[瑞典] 林西莉 译者: 李之义,中信出版社,45.00,8.8,538,已读,未设置,,,,,,0,
9787508666563,给孩子的美的历程,李泽厚,中信出版社·活字文化,45,8.3,147,已读,未设置,,,,,,0,
9787530216903,维罗妮卡决定去死,[巴西] 保罗·柯艾略 译者: 闵雪飞,北京十月文艺出版社,39.00,8.0,2245,已读,未设置,,,,,,0,
9787201066349,缘缘堂随笔,丰子恺,天津人民出版社,22.00,8.7,1026,计划,未设置,,,,,,0,
9787538755503,罗生门,芥川龙之介 译者: 高慧勤,时代文艺出版社,31.00,8.7,3621,已读,未设置,,,,,,0,
9787559433725,罗生门,[日] 芥川龙之介 译者: 鲁迅/文洁若/文学朴,江苏凤凰文艺出版社,59.90,8.7,10111,已读,未设置,,,,,,0,
9787208171336,置身事内,兰小欢,上海人民出版社,65.00,9.1,99928,已读,未设置,,,,,,0,
9787532144877,羊道·前山夏牧场,李娟,上海文艺出版社,26.00,9.2,5466,已读,未设置,,,,,,0,
9787532139576,羊道·春牧场,李娟,上海文艺出版社,20.00,9.0,7082,已读,未设置,,,,,,0,
9787532144884,羊道·深山夏牧场,李娟,上海文艺出版社,24.00,9.2,5064,已读,未设置,,,,,,0,
9787532773404,美丽新世界,[英] 奥尔德斯·赫胥黎 译者: 陈超,上海译文出版社,28,9.2,10749,计划,未设置,,,,,,0,
9787201077727,老人与海,[美]厄尼斯特•海明威 译者: 李继宏,天津人民出版社,29.00,6.4,4431,计划,未设置,,,,,,0,
9787547517598,老子今研,裘锡圭,中西书局,86.00,9.4,155,计划,未设置,,,,,,0,
9787544333702,老子传,余世存,海南出版社,28.00,7.7,277,计划,未设置,,,,,,0,
9787544773256,老子百句,汪涌豪,译林出版社,35.00,7.3,29,已读,未设置,,,,,,0,
9787559633705,老子道德经的现代解读,王邦雄,北京联合出版公司,48.00,7.4,22,计划,未设置,,,https://img2.doubanio.com/view/subject/l/public/s33505811.jpg,2019-11,https://book.douban.com/subject/34448551/,0,
9787554615416,老残游记,刘鹗,古吴轩出版社,45.00,8.7,562,已读,未设置,,,,,,0,
9787559410658,聊斋志异(语文新课标课外阅读书目，国家教育部推荐读物）,蒲松龄,江苏凤凰文艺出版社,42,0.0,7,默认,未设置,,,https://img3.doubanio.com/view/subject/l/public/s33569003.jpg,2018-6,https://book.douban.com/subject/30846747/,0,
9787020143405,肖申克的救赎,斯蒂芬·金 译者: 施寄青、赵永芬、齐若兰,人民文学出版社,69,8.8,10,计划,未设置,,,,,,0,
9787550292895,育儿基本,高志宏/徐智明,北京联合出版公司,39.80,8.3,655,默认,未设置,,,,,,0,
9787535488473,自在独行,贾平凹,长江文艺出版社,39.00,7.2,16685,计划,未设置,,,,,,0,
9787549638581,自学大全,读书猴 译者: 滕小涵,文汇出版社,99.00,8.0,1592,已读,未设置,,,,,,0,
9787220118043,苏东坡新传,李一冰,四川人民出版社,168.00,9.4,8186,已读,未设置,,,,,,0,
9787542666635,苏轼十讲,朱刚,上海三联书店,58.00,9.4,5136,已读,未设置,,,,,,0,
9787532553945,苏轼词集,[宋]苏轼/刘石 导读/刘石,上海古籍出版社,18.00,9.5,1774,计划,未设置,,,,,,0,
9787532572830,苏轼选集,苏轼/王水照,上海古籍出版社,58.00,9.6,392,计划,未设置,,,,,,0,
9787511376114,草枕,夏目漱石 译者: 澜昕,中国华侨出版社,29.80,8.2,106,已读,未设置,,,,,,0,
9787201064994,荷塘月色,朱自清,天津人民出版社,22.00,7.8,28,默认,未设置,,,,,,0,
9787540485528,莫斯科绅士,[美] 埃默·托尔斯 译者: 马韧,湖南文艺出版社,89,0.0,1,计划,未设置,,,https://img1.doubanio.com/view/subject/l/public/s35233938.jpg,2018-6,https://book.douban.com/subject/36076062/,0,
9787201128283,莫泊桑短篇小说精选,居伊·德·莫泊桑 译者: 柳鸣九,天津人民出版社,39.00,9.0,800,默认,未设置,,,,,,0,
9787532581269,菜根谭,[明]洪应明 译者: 吴言生,上海古籍出版社,28.00,8.4,54,计划,未设置,,,,,,0,
9787559609502,葡萄牙的高山,[加拿大] 扬·马特尔 译者: 亚可,北京联合出版公司,58.00,8.5,9423,已读,未设置,,,,,,0,
9787533946050,蒙田随笔,[法]米歇尔·德·蒙田 译者: 马振骋,浙江文艺出版社,36.00,7.8,457,计划,未设置,,,,,,0,
9787532787043,虚无时代,[英国] 彼得·沃森 译者: 高礼杰,上海译文出版社,88,8.2,928,计划,未设置,,,,,,0,
9787532959877,虫子旁,朱赢椿,山东文艺出版社,59.00,8.4,464,已读,未设置,,,,,,0,
9787540492885,蝲蛄吟唱的地方,[美] 迪莉娅·欧文斯 译者: 王泽林,湖南文艺出版社,58.00,8.8,23389,已读,未设置,,,,,,0,
9787111495482,被讨厌的勇气,岸见一郎/古贺史健 译者: 渠海霞,机械工业出版社,55,8.3,43366,计划,未设置,,,,,,0,
9787505739376,被误诊的艺术史,董悠悠,中国友谊出版公司,55,7.7,1185,已读,未设置,,,,,,0,
9787532779185,被释放的祖克曼,[美] 菲利普·罗斯 译者: 郭国良,上海译文出版社,46.00,8.2,261,已读,未设置,,,,,,0,
9787100128346,西游记（全二册）,吴承恩,商务印书馆,35.00,8.2,11,默认,未设置,,,,,,0,
9787208128156,西线无战事,[德] 雷马克 译者: 朱雯,上海人民出版社,45.00,9.3,6118,已读,未设置,,,,,,0,
9787559446244,西西弗神话,[法]阿尔贝·加缪 译者: 李玉民,读客/江苏凤凰文艺出版社,45,8.5,3179,已读,未设置,,,,,,0,
9787508684604,见识,吴军,中信出版社,49.00,7.9,9732,计划,未设置,,,,,,0,
9787532779147,解剖课,[美] 菲利普·罗斯 译者: 郭国良/高思飞,上海译文出版社,55.00,8.2,300,计划,未设置,,,,,,0,
9787530213834,解密,麦家,北京十月文艺出版社,35.00,7.2,4552,已读,未设置,,,,,,0,
9787542662583,许子东现代文学课,许子东,上海三联书店,69.00,8.3,6635,已读,未设置,,,,,,0,
9787101054194,论语译注,杨伯峻 译者: 杨伯峻,中华书局,26.00,9.0,2990,默认,未设置,,,,,,0,
9787532772858,试刊号,[意] 翁贝托·埃科 译者: 魏怡,上海译文出版社,38.00,7.7,1702,已读,未设置,,,,,,0,
9787553324104,诗经之美 精装读书会,吴锋,南京出版社,49,8.2,13,计划,未设置,,,,,,0,
9787514613209,诗经名物图解,[日] 细井徇 绘,中国画报出版社,60.00,8.1,530,已读,未设置,,,,,,0,
9787544774017,诗骚百句,邵毅平,译林出版社,36.00,8.1,54,已读,未设置,,,,,,0,
9787508648248,误读,[意] 安伯托·艾柯 译者: 吴燕莛,中信出版社,35,7.9,434,已读,未设置,,,,,,0,
9787101075243,谈美,朱光潜,中华书局,15.00,9.2,4540,计划,未设置,,,https://img1.doubanio.com/view/subject/l/public/s29806460.jpg,,,0,
9787513346498,资治通鉴熊逸版第1辑,熊逸,新星出版社,399.00,9.0,1279,已读,未设置,,,,,,0,
9787532779765,赎罪,[英]伊恩·麦克尤恩 译者: 郭国良,上海译文出版社,49,8.6,792,已读,未设置,,,,,,0,
9787201118147,走出非洲,[丹麦] 凯伦·布里克森 译者: 王旭,天津人民出版社,36.00,8.5,4518,已读,未设置,,,,,,0,
9787543067028,边城,沈从文,武汉出版社,35,8.6,9338,计划,未设置,,,,,,0,
9787559643322,这不科学！,[美] 小西奥多·席克/[美] 刘易斯·沃恩 译者: 武晓蓓/张志敏,北京联合出版公司,68.00,8.1,150,已读,未设置,,,https://img1.doubanio.com/view/subject/l/public/s33700178.jpg,2020-10,https://book.douban.com/subject/35169064/,0,
9787544717731,这些人，那些事,吴念真,译林出版社,28.00,8.8,69695,计划,未设置,,,https://img2.doubanio.com/view/subject/l/public/s6828981.jpg,2011-9,,0,
9787555910459,这样读《左传》,龙镇,河南文艺出版社,58.00,8.9,35,已读,未设置,,,https://img2.doubanio.com/view/subject/l/public/s33879851.jpg,2021-5,,0,
9787532777709,追日,[英]伊恩·麦克尤恩 译者: 黄昱宁,上海译文出版社,68,8.1,213,已读,未设置,,,https://img1.doubanio.com/view/subject/l/public/s29780120.jpg,2018-6,,0,
9787542631664,送你一颗子弹,刘瑜,上海三联书店,25.00,8.6,146329,已读,未设置,,,,,,0,
9787220113871,送行,袁哲生,四川人民出版社,68.00,8.6,5144,已读,未设置,,,,,,0,
9787559614322,逍遥游,熊逸,北京联合出版公司,58.00,7.9,437,已读,未设置,,,,,,0,
9787559615121,道可道,熊逸,北京联合出版公司,56.00,8.0,312,已读,未设置,,,,,,0,
9787507557299,道德经，古今有何不同,王骥,华文出版社,68.00,7.6,19,计划,未设置,,,,,,0,
9787549625499,野性的呼唤,[美] 杰克·伦敦 译者: 刘晓桦,文汇出版社,42.00,8.6,522,默认,未设置,,,,,,0,
9787544285025,金色梦乡,[日] 伊坂幸太郎 译者: 代珂,南海出版公司,69.00,8.7,63381,已读,未设置,,,,,,0,
9787544398893,金阁寺,[日]三岛由纪夫 译者: 汪洋/百里,海南出版社,56.9,8.5,889,已读,未设置,,,,,,0,
9787020137176,钢铁是怎样炼成的（教育部统编《语文》推荐阅读丛书 人民文学出版社）,,人民文学出版社,36,7.8,129,默认,未设置,,,,,,0,
9787540489502,银河系边缘的小失常,[以色列] 埃特加·凯雷特 译者: 方铁,湖南文艺出版社,49.00,7.9,13613,已读,未设置,,,,,,0,
9787559417879,银河铁道之夜,[日] 宫泽贤治 译者: 王新禧,江苏凤凰文艺出版社,36.00,7.9,1764,默认,未设置,,,,,,0,
9787100139007,镜花缘/经典名著大家名作,(清)李汝珍|总主编:闻钟,商务印书馆,39.8,7.1,11,默认,未设置,,,,,,0,
9787532777532,长日将尽,[英] 石黑一雄 译者: 冯涛,上海译文出版社,48,8.9,43678,已读,未设置,,,,,,0,
9787544257848,阁楼上的光,[美]谢尔·希尔弗斯坦,南海出版公司,32.00,8.3,142,已读,未设置,,,,,,0,
9787550294578,阅读是一座随身携带的避难所,[英]毛姆 译者: 罗长利,北京联合出版公司,42.00,8.5,15255,已读,未设置,,,,,,0,
9787513312530,阿勒泰的角落,李娟,新星出版社,36.00,8.8,21676,已读,未设置,,,,,,0,
